type	fname	year	month	day	positive	negative	x	y
10q/k	2009-6-27-10q.txt	2009	6	27	4.533518001788653	6.907576310239264	1.381580423535275E-4	2.1050698818307018E-4
ex31	2009-7-9-ex31.txt	2009	7	9	0.16836708488683183	0.31735778930916636	5.5750690359878096E-5	1.0508536069839945E-4
10q/k	2009-9-26-10k.txt	2009	9	26	8.734752853499833	13.051709941204802	1.7087430755310912E-4	2.553251289409758E-4
10q/k	2010-3-27-10q.txt	2010	3	27	3.615007200033612	5.5250009612951265	1.1690728930966987E-4	1.7867540784215533E-4
10q/k	2010-6-26-10q.txt	2010	6	26	4.4239089456516885	6.565465910648446	1.3945870202546144E-4	2.0696885160609188E-4
10q/k	2010-9-25-10k.txt	2010	9	25	6.362117952619041	9.612057009295803	1.4147786147388289E-4	2.1374851585082623E-4
10q/k	2011-3-26-10q.txt	2011	3	26	2.4023972362961583	3.76348524455041	9.261004727250908E-5	1.450786494179257E-4
10q/k	2011-6-25-10q.txt	2011	6	25	2.644426872980531	4.226941907720249	9.342613930332206E-5	1.4933552049886063E-4
10q/k	2011-9-24-10k.txt	2011	9	24	4.792622233686045	7.497785890310651	1.1904769818883315E-4	1.86243377473065E-4
10q/k	2012-3-31-10q.txt	2012	3	31	2.425678568946697	3.8274306211123386	9.947012912928305E-5	1.569519651075346E-4
10q/k	2012-6-30-10q.txt	2012	6	30	2.5066904817404803	3.9649329379882032	1.0141154145725705E-4	1.6040670515366144E-4
10q/k	2012-9-29-10k.txt	2012	9	29	5.157144728218037	7.928320024120132	1.274974592256431E-4	1.960078129031653E-4
10q/k	2013-3-30-10q.txt	2013	3	30	1.9842667283689293	3.3016650363792066	7.889101178311582E-5	1.3126848904179413E-4
10q/k	2009-12-26-10q.txt	2009	12	26	3.6242565036706096	5.6477802719118335	1.1616206742534003E-4	1.810185984587126E-4
10q/ka	2009-9-26-10ka.txt	2009	9	26	3.151840667216174	5.020066984383329	1.022926349219841E-4	1.629257102552035E-4
10q/k	2010-12-25-10q.txt	2010	12	25	2.645375328509184	4.079781691787478	1.0668126501226694E-4	1.6452722876910425E-4
ex101	2010-3-8-ex101.txt	2010	3	8	1.2729401799317446	1.9537365677048841	2.5132086474466826E-4	3.857327873059989E-4
ex141	2010-7-1-ex141.txt	2010	7	1	0.9035172232754234	1.2516165002157573	1.2353257086073602E-4	1.7112612800324815E-4
10q/k	2011-12-31-10q.txt	2011	12	31	2.2818735860331247	3.6201036057542897	9.661586866089953E-5	1.532773141567571E-4
ex32	2011-4-20-ex32.txt	2011	4	20	2.847594349687203	3.680361610586922	2.252665413881183E-4	2.91144815330031E-4
ex141	2011-7-1-ex141.txt	2011	7	1	0.9083316204717982	1.2594781341251686	1.241568644712682E-4	1.7215392757315045E-4
ex141	2012-1-1-ex141.txt	2012	1	1	0.8808659977485159	1.222902159042307	1.2033688493832185E-4	1.6706313648118948E-4
10q/k	2012-12-29-10q.txt	2012	12	29	1.9527558036685462	3.243934860680204	8.066239017177685E-5	1.3399706145153474E-4
ex311	2009-7-22-ex311.txt	2009	7	22	0.15926148247222952	0.2325465300796385	3.141252119767841E-4	4.586716569618116E-4
